post_id,platform,post_date,content_type,category,likes,comments,shares,views,reach,hashtags_count,total_engagement,engagement_rate,post_month,post_day
24,Instagram,2025-01-13,Text,Fashion,2066,75,120,28526,22273,3,2261,10.151304269743635,January,Monday
25,Facebook,2025-11-09,Text,Travel,6290,834,438,74493,56036,12,7562,13.494896138196873,November,Sunday
26,Twitter,2025-02-18,Video,Entertainment,4366,424,351,53198,45385,12,5141,11.327531122617605,February,Tuesday
27,Instagram,2025-04-28,Text,Food,2289,83,104,44395,28914,7,2476,8.563325724562496,April,Monday
28,Facebook,2025-02-23,Reel,Travel,700,52,47,25031,17864,6,799,4.472682489923869,February,Sunday
29,Facebook,2025-05-18,Video,Technology,5086,208,119,76542,58691,5,5413,9.222879146717556,May,Sunday
30,Instagram,2025-02-22,Reel,Fitness,2211,245,207,38701,26855,10,2663,9.916216719419102,February,Saturday
31,Facebook,2025-02-13,Image,Food,1512,179,67,26939,18847,15,1758,9.327744468615695,February,Thursday
32,Instagram,2025-10-30,Reel,Food,2302,77,174,50145,33376,11,2553,7.649209012464047,October,Thursday
33,Instagram,2025-02-22,Image,Technology,1161,99,13,21324,15939,1,1273,7.986699291047117,February,Saturday
34,Twitter,2025-03-15,Image,Entertainment,1081,136,30,23867,20232,2,1247,6.163503361012258,March,Saturday
35,Twitter,2025-02-15,Image,Fashion,53,7,2,1203,746,9,62,8.310991957104557,February,Saturday
36,Twitter,2025-01-13,Reel,Fitness,611,53,54,17544,15386,8,718,4.666580007799298,January,Monday
37,Instagram,2025-06-14,Video,Food,1343,192,77,16899,13370,12,1612,12.056843679880329,June,Saturday
38,Instagram,2025-04-12,Reel,Fitness,972,87,91,30063,25197,8,1150,4.564035401039806,April,Saturday
39,Facebook,2025-10-07,Image,Food,1949,138,104,91880,68419,14,2191,3.2023268390359405,October,Tuesday
40,Instagram,2025-09-15,Video,Fitness,248,32,13,4748,3906,4,293,7.501280081925243,September,Monday
41,Instagram,2025-12-03,Video,Travel,3225,271,67,67629,37579,13,3563,9.481359269804944,December,Wednesday
42,Facebook,2025-12-22,Reel,Food,4361,354,358,81764,68390,2,5073,7.41775113320661,December,Monday
43,Instagram,2025-05-18,Video,Fitness,588,49,18,21884,12343,1,655,5.306651543384914,May,Sunday
44,Twitter,2025-06-12,Reel,Fashion,1710,222,155,26183,22555,7,2087,9.252937264464641,June,Thursday
45,Instagram,2025-04-21,Text,Travel,4052,519,372,82570,74080,14,4943,6.672516198704104,April,Monday
46,Facebook,2025-04-12,Reel,Travel,5343,387,507,72246,47171,5,6237,13.222106802908568,April,Saturday
47,Instagram,2025-01-17,Image,Fashion,1418,89,80,20259,12633,9,1587,12.562336737117075,January,Friday
48,Facebook,2025-09-25,Image,Fitness,2123,178,150,36959,30227,10,2451,8.10864458927449,September,Thursday
49,Facebook,2025-07-01,Text,Technology,1161,109,92,34457,22002,11,1362,6.1903463321516226,July,Tuesday
50,Instagram,2025-01-24,Image,Fashion,6928,353,150,86679,73932,6,7431,10.051128063626035,January,Friday
51,Twitter,2025-01-29,Text,Fitness,43,5,2,3103,1818,0,50,2.7502750275027505,January,Wednesday
52,Twitter,2025-06-20,Video,Fashion,2681,223,35,66901,39744,0,2939,7.3948268921095,June,Friday
53,Twitter,2025-08-16,Text,Fashion,2180,138,119,45535,40649,15,2437,5.995227434869246,August,Saturday
54,Twitter,2025-07-07,Reel,Food,1506,51,36,17103,13440,9,1593,11.852678571428571,July,Monday
55,Facebook,2025-12-12,Text,Fitness,1777,90,47,99046,83833,1,1914,2.2831104696241336,December,Friday
56,Twitter,2025-08-18,Video,Technology,4546,651,194,91012,60387,9,5391,8.927418152913706,August,Monday
57,Instagram,2025-11-17,Reel,Food,5867,350,287,79278,62373,14,6504,10.427588860564667,November,Monday
58,Instagram,2025-12-06,Video,Fashion,695,29,45,13391,10150,2,769,7.576354679802956,December,Saturday
59,Instagram,2025-04-29,Video,Entertainment,649,51,10,29901,22757,11,710,3.1199191457573496,April,Tuesday
60,Instagram,2025-06-05,Reel,Fashion,9114,546,504,98537,77734,0,10164,13.075359559523502,June,Thursday
61,Instagram,2025-09-29,Text,Fashion,4432,108,117,82159,61732,13,4657,7.5438994362729215,September,Monday
62,Instagram,2025-06-24,Text,Fitness,3928,243,242,68914,48251,4,4413,9.145924436799238,June,Tuesday
63,Twitter,2025-04-14,Reel,Fitness,1449,131,97,51357,33206,14,1677,5.050292115882671,April,Monday
64,Instagram,2025-04-02,Video,Food,4920,451,295,87908,71996,14,5666,7.8698816600922274,April,Wednesday
65,Instagram,2025-07-05,Video,Technology,1561,103,119,39437,24813,2,1783,7.1857494055535405,July,Saturday
66,Facebook,2025-10-10,Reel,Food,795,62,31,36503,28922,0,888,3.0703270866468433,October,Friday
67,Instagram,2025-06-30,Image,Travel,1881,273,148,97282,61449,7,2302,3.746196032482221,June,Monday
68,Twitter,2025-06-19,Image,Fashion,7534,520,368,94459,72626,11,8422,11.596397984192988,June,Thursday
69,Instagram,2025-07-06,Video,Entertainment,2726,146,146,76403,61999,10,3018,4.867820448716915,July,Sunday
70,Twitter,2025-06-24,Image,Fashion,1045,53,71,42258,26476,5,1169,4.415319534672911,June,Tuesday
71,Twitter,2025-08-10,Image,Fashion,1397,111,16,34724,19826,8,1524,7.686875819630788,August,Sunday
72,Instagram,2025-08-21,Image,Food,3768,447,259,65286,38900,2,4474,11.501285347043702,August,Thursday
73,Instagram,2025-06-11,Image,Entertainment,1514,70,99,75842,57799,8,1683,2.9118150833059393,June,Wednesday
74,Twitter,2025-05-14,Image,Entertainment,1046,117,39,15908,13478,8,1202,8.918237127170203,May,Wednesday
75,Facebook,2025-08-12,Text,Entertainment,1690,38,29,93617,52963,15,1757,3.3174102675452675,August,Tuesday
76,Facebook,2025-06-02,Video,Food,985,73,17,51626,41659,14,1075,2.580474807364555,June,Monday
77,Twitter,2025-02-02,Video,Fashion,646,78,60,38228,25592,11,784,3.063457330415755,February,Sunday
78,Instagram,2025-02-24,Reel,Food,1809,115,130,24386,17496,14,2054,11.739826245999085,February,Monday
79,Instagram,2025-01-07,Image,Fitness,1328,123,28,47754,41789,12,1479,3.5392088827203327,January,Tuesday
80,Instagram,2025-09-01,Text,Fitness,478,22,20,29302,19520,11,520,2.663934426229508,September,Monday
81,Twitter,2025-11-09,Reel,Food,2810,327,177,61815,44065,0,3314,7.52070804493362,November,Sunday
82,Facebook,2025-05-06,Image,Entertainment,4966,133,423,85748,47572,2,5522,11.60766837635584,May,Tuesday
83,Instagram,2025-01-12,Video,Fashion,1721,225,23,64344,37226,5,1969,5.2893139203782304,January,Sunday
84,Instagram,2025-01-16,Text,Food,1458,66,45,36618,23454,7,1569,6.689690457917625,January,Thursday
85,Instagram,2025-07-27,Text,Food,1037,138,93,77234,43231,3,1268,2.9330804283962895,July,Sunday
86,Instagram,2025-02-12,Video,Food,3108,204,33,62114,47888,4,3345,6.985048446374876,February,Wednesday
87,Facebook,2025-05-15,Reel,Travel,3867,440,108,71130,49736,8,4415,8.876869872929065,May,Thursday
88,Facebook,2025-08-16,Image,Fitness,1516,93,146,26525,19677,5,1755,8.9190425369721,August,Saturday
89,Twitter,2025-04-21,Text,Entertainment,2629,362,171,80818,49390,11,3162,6.402105689410812,April,Monday
90,Facebook,2025-11-03,Image,Technology,516,18,17,15334,10021,6,551,5.498453248178825,November,Monday
91,Instagram,2025-06-09,Text,Entertainment,2296,99,36,95715,74881,6,2431,3.246484421949493,June,Monday
92,Facebook,2025-11-27,Reel,Technology,3208,269,40,63767,56615,3,3517,6.212134593305661,November,Thursday
93,Twitter,2025-09-21,Reel,Travel,129,3,4,7644,4339,3,136,3.1343627563954826,September,Sunday
94,Facebook,2025-08-13,Video,Food,2826,128,252,33933,29237,3,3206,10.965557341724526,August,Wednesday
95,Twitter,2025-08-05,Image,Travel,3899,556,184,44469,33436,13,4639,13.874267256848904,August,Tuesday
96,Facebook,2025-02-14,Image,Travel,3033,445,226,34687,25924,14,3704,14.287918531090881,February,Friday
97,Facebook,2025-08-02,Image,Fashion,4143,285,383,53656,38905,10,4811,12.36601979180054,August,Saturday
98,Instagram,2025-02-28,Image,Fitness,844,118,39,18375,10552,4,1001,9.486353297952995,February,Friday
99,Instagram,2025-05-12,Reel,Technology,3467,314,94,66206,38495,4,3875,10.066242369138848,May,Monday
100,Instagram,2025-04-14,Video,Food,3595,197,203,97462,74102,7,3995,5.391217510998354,April,Monday
101,Instagram,2025-07-14,Image,Technology,2091,232,191,37607,25171,8,2514,9.98768423979977,July,Monday
102,Facebook,2025-06-06,Text,Entertainment,4807,507,396,84178,73322,1,5710,7.787567169471646,June,Friday
103,Instagram,2025-04-08,Text,Technology,1180,175,18,24993,17302,10,1373,7.935498786267484,April,Tuesday
104,Facebook,2025-08-14,Text,Entertainment,2608,142,188,45386,27238,6,2938,10.786401351053675,August,Thursday
105,Twitter,2025-07-24,Text,Fitness,1823,195,112,47287,37836,0,2130,5.629559150015858,July,Thursday
106,Instagram,2025-03-20,Image,Entertainment,2966,79,271,87724,57255,15,3316,5.791633918435071,March,Thursday
107,Instagram,2025-05-04,Video,Technology,8182,284,172,99132,72754,0,8638,11.872886714132557,May,Sunday
108,Twitter,2025-08-06,Reel,Technology,1919,39,111,94308,74903,3,2069,2.7622391626503613,August,Wednesday
109,Instagram,2025-01-04,Reel,Entertainment,5776,865,514,97393,84253,9,7155,8.492279206675134,January,Saturday
110,Instagram,2025-03-31,Image,Travel,7117,884,333,77312,63957,6,8334,13.03062995450068,March,Monday
111,Instagram,2025-04-14,Reel,Fitness,6335,774,338,99371,78177,1,7447,9.525819614464611,April,Monday
112,Instagram,2025-04-29,Image,Fashion,4488,387,73,76324,60133,10,4948,8.228426986845825,April,Tuesday
113,Twitter,2025-05-13,Image,Food,2860,168,100,72196,63609,1,3128,4.917543114968008,May,Tuesday
114,Twitter,2025-11-08,Video,Technology,2521,99,98,71014,46410,0,2718,5.8564964447317385,November,Saturday
115,Facebook,2025-04-06,Reel,Food,533,30,50,9210,5069,9,613,12.093115012823041,April,Sunday
116,Twitter,2025-11-27,Reel,Fashion,583,40,20,11922,7691,1,643,8.360421271616175,November,Thursday
117,Twitter,2025-05-23,Image,Food,1669,197,85,37289,23352,12,1951,8.354744775608085,May,Friday
118,Instagram,2025-10-15,Text,Fashion,804,72,56,34340,26841,14,932,3.472299839797325,October,Wednesday
119,Twitter,2025-01-28,Image,Entertainment,681,20,16,40850,31527,6,717,2.2742411266533447,January,Tuesday
120,Facebook,2025-10-05,Image,Travel,5112,114,274,57984,43935,8,5500,12.518493228633206,October,Sunday
121,Twitter,2025-08-21,Text,Technology,2730,90,208,85178,47332,5,3028,6.397363306008621,August,Thursday
122,Twitter,2025-01-17,Text,Fashion,782,57,68,12094,9736,9,907,9.31594083812654,January,Friday
123,Instagram,2025-02-28,Text,Food,1650,233,109,88959,59000,1,1992,3.3762711864406785,February,Friday
124,Instagram,2025-03-31,Reel,Technology,2379,244,167,34418,26941,11,2790,10.355963030325526,March,Monday
125,Instagram,2025-07-18,Reel,Travel,568,70,12,6741,5020,14,650,12.94820717131474,July,Friday
126,Instagram,2025-12-28,Reel,Entertainment,3812,307,362,73374,49157,9,4481,9.115690542547348,December,Sunday
127,Twitter,2025-01-26,Image,Technology,1359,91,29,69798,41676,14,1479,3.5488050676648433,January,Sunday
128,Twitter,2025-01-25,Video,Fashion,3260,111,259,71532,41706,9,3630,8.703783628254927,January,Saturday
129,Instagram,2025-10-28,Video,Travel,1882,251,63,23164,19481,12,2196,11.272521944458704,October,Tuesday
130,Facebook,2025-12-05,Image,Food,1933,235,181,36595,31890,8,2349,7.365945437441204,December,Friday
131,Instagram,2025-09-24,Reel,Travel,2623,109,196,31257,24299,6,2928,12.04987859582699,September,Wednesday
132,Instagram,2025-06-30,Video,Travel,756,65,58,15211,8916,10,879,9.858681022880216,June,Monday
133,Instagram,2025-12-26,Image,Fitness,7363,613,218,96989,66991,0,8194,12.231493782746936,December,Friday
134,Instagram,2025-03-09,Image,Travel,413,41,20,6232,5017,11,474,9.447877217460633,March,Sunday
135,Twitter,2025-12-17,Reel,Travel,1874,267,122,68753,56579,8,2263,3.9997172095653863,December,Wednesday
136,Instagram,2025-11-17,Image,Technology,1618,154,128,53691,31751,1,1900,5.984063494063179,November,Monday
137,Facebook,2025-02-18,Text,Food,2005,180,38,90765,49921,3,2223,4.453035796558562,February,Tuesday
138,Facebook,2025-06-24,Video,Technology,7157,189,691,80768,64553,8,8037,12.450234690874165,June,Tuesday
139,Instagram,2025-02-21,Video,Technology,1724,48,155,26613,17958,15,1927,10.730593607305936,February,Friday
140,Twitter,2025-04-12,Reel,Fashion,841,37,28,15026,9602,3,906,9.435534263695065,April,Saturday
141,Twitter,2025-08-04,Reel,Technology,1514,36,127,54535,30240,15,1677,5.54563492063492,August,Monday
142,Instagram,2025-07-07,Video,Fitness,2699,314,152,95090,70281,2,3165,4.503350834507192,July,Monday
143,Facebook,2025-02-26,Reel,Fitness,2587,295,133,31908,27054,0,3015,11.144377910844977,February,Wednesday
144,Instagram,2025-02-16,Reel,Fashion,3169,119,121,53113,47014,6,3409,7.2510316076062455,February,Sunday
145,Instagram,2025-06-08,Image,Entertainment,656,84,40,20610,15416,14,780,5.0596782563570315,June,Sunday
146,Instagram,2025-06-23,Text,Food,2840,113,214,47646,34784,5,3167,9.104760809567617,June,Monday
147,Facebook,2025-08-30,Reel,Food,894,52,42,64185,37212,9,988,2.655057508330646,August,Saturday
148,Facebook,2025-10-09,Reel,Technology,2872,150,191,73567,54594,15,3213,5.885262116716122,October,Thursday
149,Instagram,2025-08-29,Text,Technology,2217,151,161,48574,33175,3,2529,7.623210248681237,August,Friday
150,Instagram,2025-01-05,Text,Entertainment,2442,129,180,92051,70188,5,2751,3.9194734142588477,January,Sunday
151,Twitter,2025-03-25,Reel,Technology,3021,252,44,37182,25508,5,3317,13.003763525168575,March,Tuesday
152,Instagram,2025-11-04,Reel,Food,40,2,3,1570,995,12,45,4.522613065326634,November,Tuesday
153,Instagram,2025-12-27,Reel,Travel,1903,282,97,98790,57618,15,2282,3.9605678780936513,December,Saturday
154,Facebook,2025-09-05,Reel,Fitness,540,14,18,20288,13394,3,572,4.270568911452889,September,Friday
155,Twitter,2025-02-23,Reel,Travel,4516,173,143,79824,46603,13,4832,10.36843121687445,February,Sunday
156,Instagram,2025-06-10,Reel,Travel,1181,31,63,30877,18894,12,1275,6.748174023499523,June,Tuesday
157,Facebook,2025-08-14,Image,Food,5855,593,525,85425,76503,5,6973,9.114675241493797,August,Thursday
158,Twitter,2025-01-15,Text,Travel,29,0,1,1917,1352,9,30,2.2189349112426036,January,Wednesday
159,Instagram,2025-08-12,Text,Entertainment,1321,170,102,76602,56390,10,1593,2.8249689661287465,August,Tuesday
160,Facebook,2025-03-02,Image,Fashion,5307,459,99,96040,82187,7,5865,7.136165086935891,March,Sunday
161,Instagram,2025-05-02,Reel,Technology,5989,530,316,65575,58915,12,6835,11.601459730119663,May,Friday
162,Facebook,2025-10-04,Image,Fashion,6015,559,596,73518,55428,2,7170,12.93570036804503,October,Saturday
163,Facebook,2025-02-15,Video,Fitness,959,40,76,40104,33461,3,1075,3.2126953767072113,February,Saturday
164,Facebook,2025-10-21,Reel,Technology,935,42,27,19062,12665,9,1004,7.9273588630082905,October,Tuesday
165,Instagram,2025-03-03,Image,Travel,1316,80,72,17999,11825,12,1468,12.414376321353066,March,Monday
166,Twitter,2025-03-27,Reel,Fitness,2553,248,79,62845,43422,11,2880,6.632582561835014,March,Thursday
167,Instagram,2025-07-29,Reel,Technology,884,41,41,10941,8592,13,966,11.243016759776536,July,Tuesday
168,Instagram,2025-03-19,Video,Entertainment,1636,57,131,62169,49036,14,1824,3.7197161269271555,March,Wednesday
169,Instagram,2025-07-21,Image,Entertainment,1834,267,145,24470,16158,0,2246,13.900235177620992,July,Monday
170,Facebook,2025-10-29,Image,Entertainment,3452,78,105,60821,36287,3,3635,10.017361589549976,October,Wednesday
171,Facebook,2025-08-11,Reel,Entertainment,7717,959,717,87669,67622,10,9393,13.890449853597941,August,Monday
172,Instagram,2025-08-10,Text,Travel,2369,290,150,45435,27029,9,2809,10.392541344481852,August,Sunday
173,Facebook,2025-01-03,Reel,Fashion,234,13,10,5529,4160,9,257,6.177884615384616,January,Friday
174,Instagram,2025-01-06,Image,Technology,7583,285,418,84055,66630,11,8286,12.435839711841513,January,Monday
175,Facebook,2025-04-03,Reel,Travel,498,19,32,13192,10490,13,549,5.2335557673975215,April,Thursday
176,Instagram,2025-01-08,Video,Entertainment,3252,359,196,75102,61111,8,3807,6.229647690268528,January,Wednesday
177,Facebook,2025-08-23,Reel,Fashion,5684,588,305,73762,63103,7,6577,10.422642346639622,August,Saturday
178,Instagram,2025-04-18,Image,Fitness,6144,748,340,87795,63650,10,7232,11.362136684996074,April,Friday
179,Twitter,2025-06-10,Reel,Fitness,3192,452,82,35087,28265,3,3726,13.182381036617723,June,Tuesday
180,Instagram,2025-07-28,Video,Fitness,2100,230,174,67677,51888,11,2504,4.825778600061671,July,Monday
181,Instagram,2025-08-28,Text,Entertainment,345,13,20,5627,3462,6,378,10.918544194107453,August,Thursday
182,Instagram,2025-11-27,Video,Fitness,3018,155,65,57541,32164,9,3238,10.067155826389753,November,Thursday
183,Twitter,2025-11-29,Reel,Food,1186,153,93,69226,44968,2,1432,3.184486746130582,November,Saturday
184,Twitter,2025-02-19,Text,Technology,176,8,16,4255,3000,8,200,6.666666666666667,February,Wednesday
185,Instagram,2025-01-11,Image,Technology,2160,63,205,58433,44758,9,2428,5.424728540149247,January,Saturday
186,Facebook,2025-12-17,Text,Entertainment,265,29,11,6213,5265,3,305,5.7929724596391265,December,Wednesday
187,Twitter,2025-06-05,Reel,Food,1493,107,33,20404,12623,1,1633,12.936702844014894,June,Thursday
188,Facebook,2025-03-11,Image,Travel,1320,184,74,26380,15668,9,1578,10.071483278018892,March,Tuesday
189,Facebook,2025-06-18,Video,Travel,7494,783,150,92056,81673,4,8427,10.317975340687866,June,Wednesday
190,Instagram,2025-09-29,Reel,Fitness,1395,44,131,20173,11858,1,1570,13.240006746500251,September,Monday
191,Instagram,2025-03-09,Image,Fashion,2237,320,59,54027,38762,13,2616,6.748877766885093,March,Sunday
192,Twitter,2025-12-21,Reel,Travel,1889,101,61,24989,18865,9,2051,10.871985157699443,December,Sunday
193,Twitter,2025-09-09,Video,Fashion,1197,76,55,25519,18870,15,1328,7.0376258611552736,September,Tuesday
194,Facebook,2025-02-17,Reel,Technology,1454,105,64,23439,13597,5,1623,11.936456571302493,February,Monday
195,Instagram,2025-07-03,Image,Fashion,1691,45,137,77949,44427,10,1873,4.2159047426114755,July,Thursday
196,Instagram,2025-11-16,Text,Technology,1077,91,55,15995,9387,9,1223,13.028656652817727,November,Sunday
197,Facebook,2025-07-06,Text,Food,776,27,19,24559,18540,0,822,4.433656957928803,July,Sunday
198,Twitter,2025-03-31,Text,Food,3508,253,119,90049,66683,13,3880,5.818574449259931,March,Monday
199,Twitter,2025-11-28,Reel,Entertainment,363,23,20,6021,3804,5,406,10.67297581493165,November,Friday
200,Twitter,2025-05-19,Image,Entertainment,4545,547,105,99000,76548,3,5197,6.789204159481632,May,Monday
201,Facebook,2025-12-23,Reel,Fitness,1496,186,97,22119,18514,2,1779,9.608944582478125,December,Tuesday
202,Instagram,2025-03-30,Image,Travel,1911,76,116,52539,29661,1,2103,7.090118337210479,March,Sunday
203,Instagram,2025-10-01,Image,Fitness,6541,442,486,95835,69417,6,7469,10.759612198740943,October,Wednesday
204,Twitter,2025-01-19,Video,Technology,1367,93,129,40350,31927,8,1589,4.97697873273405,January,Sunday
205,Facebook,2025-11-07,Video,Fitness,779,30,71,47223,30142,11,880,2.9195142989848053,November,Friday
206,Instagram,2025-12-24,Reel,Fashion,871,107,82,26517,17440,2,1060,6.077981651376147,December,Wednesday
207,Instagram,2025-06-03,Reel,Technology,4107,459,131,79653,60916,15,4697,7.710617900059098,June,Tuesday
208,Facebook,2025-09-17,Video,Entertainment,739,33,16,23250,20094,5,788,3.9215686274509802,September,Wednesday
209,Instagram,2025-04-18,Image,Food,3952,267,147,85486,71250,8,4366,6.127719298245614,April,Friday
210,Instagram,2025-10-12,Text,Entertainment,3795,128,343,83895,63264,15,4266,6.743171471927162,October,Sunday
211,Facebook,2025-02-28,Video,Travel,1868,189,182,90132,72608,1,2239,3.0836822388717495,February,Friday
212,Facebook,2025-05-05,Video,Technology,4887,174,426,92066,62392,6,5487,8.794396717527889,May,Monday
213,Facebook,2025-12-20,Image,Technology,5692,843,113,67798,52498,4,6648,12.663339555792602,December,Saturday
214,Instagram,2025-09-30,Reel,Fashion,1384,168,131,55199,39365,4,1683,4.2753715229264575,September,Tuesday
215,Facebook,2025-04-17,Reel,Travel,2977,210,143,60546,37325,10,3330,8.921634293369056,April,Thursday
216,Instagram,2025-10-26,Image,Food,6133,583,66,89151,70929,6,6782,9.561674350406744,October,Sunday
217,Instagram,2025-09-02,Image,Technology,199,27,9,4327,3222,8,235,7.293606455617629,September,Tuesday
218,Facebook,2025-12-02,Reel,Technology,1872,172,26,30768,20784,3,2070,9.959584295612009,December,Tuesday
219,Facebook,2025-09-04,Reel,Fashion,3471,148,204,65418,56846,8,3823,6.725187348274285,September,Thursday
220,Twitter,2025-01-08,Image,Fitness,3745,259,151,95386,53161,14,4155,7.815880062451798,January,Wednesday
221,Facebook,2025-05-21,Text,Food,599,77,31,43788,28922,15,707,2.4445059124541872,May,Wednesday
222,Facebook,2025-12-28,Image,Entertainment,4237,439,276,83384,47521,13,4952,10.420656130973676,December,Sunday
223,Instagram,2025-01-08,Video,Travel,3371,352,297,47830,39138,12,4020,10.271347539475702,January,Wednesday
224,Instagram,2025-12-18,Text,Technology,1013,134,70,53446,42528,10,1217,2.8616440933032354,December,Thursday
225,Instagram,2025-04-04,Video,Technology,611,83,29,16160,10762,9,723,6.718082140866009,April,Friday
226,Instagram,2025-11-17,Reel,Entertainment,5339,745,447,57583,45287,8,6531,14.421357122352992,November,Monday
227,Twitter,2025-02-08,Video,Food,1495,48,136,34998,24098,12,1679,6.967383185326582,February,Saturday
228,Instagram,2025-03-22,Image,Fitness,1614,146,33,28230,22998,3,1793,7.796330115662231,March,Saturday
229,Twitter,2025-07-06,Text,Technology,792,92,45,10076,7143,2,929,13.005739885202297,July,Sunday
230,Facebook,2025-03-25,Video,Food,4479,530,159,70341,48837,1,5168,10.58214059012634,March,Tuesday
231,Twitter,2025-03-29,Text,Entertainment,2200,217,31,32085,28143,8,2448,8.698433002878158,March,Saturday
232,Facebook,2025-08-30,Image,Fashion,3600,150,252,56571,36081,11,4002,11.091710318450154,August,Saturday
233,Facebook,2025-12-08,Image,Fitness,990,122,86,15715,9305,1,1198,12.874798495432563,December,Monday
234,Facebook,2025-04-03,Image,Travel,334,37,8,6750,5093,5,379,7.441586491262517,April,Thursday
235,Instagram,2025-03-27,Reel,Technology,4788,149,397,79768,70934,4,5334,7.519666168551048,March,Thursday
236,Facebook,2025-02-13,Video,Food,1475,118,128,36903,25176,13,1721,6.835875436924055,February,Thursday
237,Instagram,2025-05-17,Text,Fashion,4901,208,452,73489,42014,4,5561,13.236064169086495,May,Saturday
238,Instagram,2025-03-15,Video,Travel,1985,126,67,33093,22131,3,2178,9.841398942659618,March,Saturday
239,Facebook,2025-02-05,Text,Food,1895,42,173,92036,66917,15,2110,3.1531598846332027,February,Wednesday
240,Instagram,2025-04-11,Image,Food,5736,413,222,88954,53965,5,6371,11.805800055591586,April,Friday
241,Twitter,2025-06-05,Text,Travel,1875,171,111,35314,27556,4,2157,7.82769632747859,June,Thursday
242,Twitter,2025-09-12,Reel,Fashion,1189,119,17,49225,44263,10,1325,2.993470844723584,September,Friday
243,Twitter,2025-06-20,Reel,Entertainment,4724,501,65,88985,63011,3,5290,8.395359540397708,June,Friday
244,Instagram,2025-08-04,Reel,Fashion,3495,449,261,84014,56638,12,4205,7.424344079946326,August,Monday
245,Instagram,2025-06-19,Reel,Fitness,2691,129,134,36179,24972,8,2954,11.829248758609642,June,Thursday
246,Twitter,2025-09-09,Reel,Technology,628,22,20,26338,15547,12,670,4.309513089341995,September,Tuesday
247,Instagram,2025-12-26,Image,Travel,8239,1076,223,93435,80274,5,9538,11.881804818496649,December,Friday
248,Twitter,2025-11-18,Image,Entertainment,3722,150,261,70681,49136,10,4133,8.411348095083035,November,Tuesday
249,Twitter,2025-02-24,Text,Travel,577,84,5,33101,22692,9,666,2.9349550502379693,February,Monday
250,Twitter,2025-04-01,Reel,Travel,345,44,28,3775,2947,15,417,14.149983033593486,April,Tuesday
251,Instagram,2025-10-05,Reel,Fashion,4930,419,84,98183,69190,9,5433,7.852290793467263,October,Sunday
252,Instagram,2025-04-11,Video,Technology,1777,262,48,46619,36217,12,2087,5.762487229753983,April,Friday
253,Twitter,2025-06-04,Image,Fitness,1791,58,80,46838,26768,9,1929,7.206365809922295,June,Wednesday
254,Instagram,2025-12-15,Image,Food,1813,107,97,20539,17146,12,2017,11.763676659279131,December,Monday
